portfolioName(string),index(int option),yearMonth(date),ret(float)
Mine,1,2000-02-01T00:00:00.0000000,0.013900276404822857
Mine,2,2000-02-01T00:00:00.0000000,0.04706707027799735
Mine,3,2000-02-01T00:00:00.0000000,0.01701030730832371
Mine,1,2000-03-01T00:00:00.0000000,0.07737484691297931
Mine,2,2000-03-01T00:00:00.0000000,0.03416754367158993
Mine,3,2000-03-01T00:00:00.0000000,0.045169137768803075
Mine,1,2000-04-01T00:00:00.0000000,-0.09795787322175667
Mine,2,2000-04-01T00:00:00.0000000,-0.04781782901503754
Mine,3,2000-04-01T00:00:00.0000000,-0.05317340911240742
Mine,1,2000-05-01T00:00:00.0000000,-0.02259123842722029
Mine,2,2000-05-01T00:00:00.0000000,-0.04149812411330772
Mine,3,2000-05-01T00:00:00.0000000,-0.07879081569952219
Mine,1,2000-06-01T00:00:00.0000000,0.012090982900060707
Mine,2,2000-06-01T00:00:00.0000000,0.06253070182566908
Mine,3,2000-06-01T00:00:00.0000000,0.06236736117641982
Mine,1,2000-07-01T00:00:00.0000000,-0.011136242213576336
Mine,2,2000-07-01T00:00:00.0000000,-0.03487671629099138
Mine,3,2000-07-01T00:00:00.0000000,-0.01945258994868376
Mine,1,2000-08-01T00:00:00.0000000,0.08242317856787351
Mine,2,2000-08-01T00:00:00.0000000,0.07038005411068628
Mine,3,2000-08-01T00:00:00.0000000,0.05112927272148432
Mine,1,2000-09-01T00:00:00.0000000,-0.06719758182783317
Mine,2,2000-09-01T00:00:00.0000000,-0.053187650251449864
Mine,3,2000-09-01T00:00:00.0000000,-0.04635001511409803
Mine,1,2000-10-01T00:00:00.0000000,-0.023156999065258088
Mine,2,2000-10-01T00:00:00.0000000,-0.025455623761355635
Mine,3,2000-10-01T00:00:00.0000000,-0.04575503454815181
Mine,1,2000-11-01T00:00:00.0000000,-0.09079363257672218
Mine,2,2000-11-01T00:00:00.0000000,-0.10309579851721823
Mine,3,2000-11-01T00:00:00.0000000,-0.14122089365201373
Mine,1,2000-12-01T00:00:00.0000000,-0.000899268497614578
Mine,2,2000-12-01T00:00:00.0000000,0.02667592653116443
Mine,3,2000-12-01T00:00:00.0000000,0.035256539407648765
Mine,1,2001-01-01T00:00:00.0000000,0.0009366359829669022
Mine,2,2001-01-01T00:00:00.0000000,0.072119662816806
Mine,3,2001-01-01T00:00:00.0000000,0.04780256325007835
Mine,1,2001-02-01T00:00:00.0000000,-0.04630517598463857
Mine,2,2001-02-01T00:00:00.0000000,-0.11565385095979405
Mine,3,2001-02-01T00:00:00.0000000,-0.1629253966600415
Mine,1,2001-03-01T00:00:00.0000000,-0.07939387725679027
Mine,2,2001-03-01T00:00:00.0000000,-0.06880850517095731
Mine,3,2001-03-01T00:00:00.0000000,-0.07992137302798995
Mine,1,2001-04-01T00:00:00.0000000,0.07541043441121492
Mine,2,2001-04-01T00:00:00.0000000,0.0848166638749484
Mine,3,2001-04-01T00:00:00.0000000,0.08261343691310054
Mine,1,2001-05-01T00:00:00.0000000,0.012673810476341396
Mine,2,2001-05-01T00:00:00.0000000,0.00621681552237327
Mine,3,2001-05-01T00:00:00.0000000,0.0020736785109620516
Mine,1,2001-06-01T00:00:00.0000000,-0.03328626360921577
Mine,2,2001-06-01T00:00:00.0000000,-0.02087522320788481
Mine,3,2001-06-01T00:00:00.0000000,-0.005192524732993727
Mine,1,2001-07-01T00:00:00.0000000,-0.005198015766266247
Mine,2,2001-07-01T00:00:00.0000000,-0.024840564272588222
Mine,3,2001-07-01T00:00:00.0000000,-0.044373355889144296
Mine,1,2001-08-01T00:00:00.0000000,-0.0617199769318635
Mine,2,2001-08-01T00:00:00.0000000,-0.06092816835678872
Mine,3,2001-08-01T00:00:00.0000000,-0.06622897133554852
Mine,1,2001-09-01T00:00:00.0000000,-0.07732560464253867
Mine,2,2001-09-01T00:00:00.0000000,-0.10559149362130985
Mine,3,2001-09-01T00:00:00.0000000,-0.10375844383048222
Mine,1,2001-10-01T00:00:00.0000000,0.024122684742665993
Mine,2,2001-10-01T00:00:00.0000000,0.0036979041687042334
Mine,3,2001-10-01T00:00:00.0000000,0.05794930317833035
Mine,1,2001-11-01T00:00:00.0000000,0.05972546515739846
Mine,2,2001-11-01T00:00:00.0000000,0.09228928629419048
Mine,3,2001-11-01T00:00:00.0000000,0.10649434134989877
Mine,1,2001-12-01T00:00:00.0000000,0.021447772897921106
Mine,2,2001-12-01T00:00:00.0000000,0.004894994051380339
Mine,3,2001-12-01T00:00:00.0000000,0.027872086739958647
Mine,1,2002-01-01T00:00:00.0000000,-0.030009952383494846
Mine,2,2002-01-01T00:00:00.0000000,-0.0020460003932616204
Mine,3,2002-01-01T00:00:00.0000000,-0.013232824399902835
Mine,1,2002-02-01T00:00:00.0000000,-0.013843722661685775
Mine,2,2002-02-01T00:00:00.0000000,-0.03468299435502345
Mine,3,2002-02-01T00:00:00.0000000,-0.021619686422626138
Mine,1,2002-03-01T00:00:00.0000000,0.05029176588018372
Mine,2,2002-03-01T00:00:00.0000000,0.03956186749668766
Mine,3,2002-03-01T00:00:00.0000000,0.03890096140521333
Mine,1,2002-04-01T00:00:00.0000000,-0.04405292291543443
Mine,2,2002-04-01T00:00:00.0000000,-0.05341979006545226
Mine,3,2002-04-01T00:00:00.0000000,-0.0642635674976472
Mine,1,2002-05-01T00:00:00.0000000,-0.010769366242858661
Mine,2,2002-05-01T00:00:00.0000000,-0.008322909451385665
Mine,3,2002-05-01T00:00:00.0000000,-0.02113304503828075
Mine,1,2002-06-01T00:00:00.0000000,-0.06679231418238846
Mine,2,2002-06-01T00:00:00.0000000,-0.07484927396550926
Mine,3,2002-06-01T00:00:00.0000000,-0.07645122190075503
Mine,1,2002-07-01T00:00:00.0000000,-0.07762612173307547
Mine,2,2002-07-01T00:00:00.0000000,-0.08100304063192167
Mine,3,2002-07-01T00:00:00.0000000,-0.09332870421442821
Mine,1,2002-08-01T00:00:00.0000000,0.01388835604180182
Mine,2,2002-08-01T00:00:00.0000000,0.010196131214495594
Mine,3,2002-08-01T00:00:00.0000000,-0.003059573895806667
Mine,1,2002-09-01T00:00:00.0000000,-0.09308187056689811
Mine,2,2002-09-01T00:00:00.0000000,-0.10539256300451678
Mine,3,2002-09-01T00:00:00.0000000,-0.11143669120809373
Mine,1,2002-10-01T00:00:00.0000000,0.07739716357002917
Mine,2,2002-10-01T00:00:00.0000000,0.07722390851245951
Mine,3,2002-10-01T00:00:00.0000000,0.07464591733403188
Mine,1,2002-11-01T00:00:00.0000000,0.06656144063626099
Mine,2,2002-11-01T00:00:00.0000000,0.05293223567191555
Mine,3,2002-11-01T00:00:00.0000000,0.06983520200518628
Mine,1,2002-12-01T00:00:00.0000000,-0.04461343952825299
Mine,2,2002-12-01T00:00:00.0000000,-0.06939481407787403
Mine,3,2002-12-01T00:00:00.0000000,-0.05693533440160808
Mine,1,2003-01-01T00:00:00.0000000,-0.013984263670804058
Mine,2,2003-01-01T00:00:00.0000000,-0.024904499030516086
Mine,3,2003-01-01T00:00:00.0000000,-0.03439866715977223
Mine,1,2003-02-01T00:00:00.0000000,-0.00874834672480139
Mine,2,2003-02-01T00:00:00.0000000,-0.016357525415885373
Mine,3,2003-02-01T00:00:00.0000000,-0.03195478807136011
Mine,1,2003-03-01T00:00:00.0000000,0.010470058433445329
Mine,2,2003-03-01T00:00:00.0000000,0.006677107042212476
Mine,3,2003-03-01T00:00:00.0000000,0.014000783984223275
Mine,1,2003-04-01T00:00:00.0000000,0.06299094448931693
Mine,2,2003-04-01T00:00:00.0000000,0.08992328517800344
Mine,3,2003-04-01T00:00:00.0000000,0.09237632373147052
Mine,1,2003-05-01T00:00:00.0000000,0.05225116681800388
Mine,2,2003-05-01T00:00:00.0000000,0.06762105502188777
Mine,3,2003-05-01T00:00:00.0000000,0.07836725486472683
Mine,1,2003-06-01T00:00:00.0000000,0.019949181771372625
Mine,2,2003-06-01T00:00:00.0000000,0.007587382334143044
Mine,3,2003-06-01T00:00:00.0000000,0.018925854905082605
Mine,1,2003-07-01T00:00:00.0000000,0.024998819181140185
Mine,2,2003-07-01T00:00:00.0000000,0.019813331258099646
Mine,3,2003-07-01T00:00:00.0000000,0.023544422461544732
Mine,1,2003-08-01T00:00:00.0000000,0.018673868246229144
Mine,2,2003-08-01T00:00:00.0000000,0.02435266359546788
Mine,3,2003-08-01T00:00:00.0000000,0.03476771748668909
Mine,1,2003-09-01T00:00:00.0000000,-0.01309669413311476
Mine,2,2003-09-01T00:00:00.0000000,-0.009121980267049808
Mine,3,2003-09-01T00:00:00.0000000,-0.010105019259049376
Mine,1,2003-10-01T00:00:00.0000000,0.06475119255672528
Mine,2,2003-10-01T00:00:00.0000000,0.060987776528227844
Mine,3,2003-10-01T00:00:00.0000000,0.0527992804078445
Mine,1,2003-11-01T00:00:00.0000000,0.009262275709143852
Mine,2,2003-11-01T00:00:00.0000000,0.01441157050569506
Mine,3,2003-11-01T00:00:00.0000000,0.027702761580567996
Mine,1,2003-12-01T00:00:00.0000000,0.04016700455059564
Mine,2,2003-12-01T00:00:00.0000000,0.043591655004358285
Mine,3,2003-12-01T00:00:00.0000000,0.05234725502622471
Mine,1,2004-01-01T00:00:00.0000000,0.01765985758909478
Mine,2,2004-01-01T00:00:00.0000000,0.022551914615143567
Mine,3,2004-01-01T00:00:00.0000000,0.027791355649509485
Mine,1,2004-02-01T00:00:00.0000000,0.014678279175492836
Mine,2,2004-02-01T00:00:00.0000000,0.021281833007838393
Mine,3,2004-02-01T00:00:00.0000000,0.006310845204735949
Mine,1,2004-03-01T00:00:00.0000000,-0.014527101063710938
Mine,2,2004-03-01T00:00:00.0000000,-0.013584001248868797
Mine,3,2004-03-01T00:00:00.0000000,-0.011538058760607024
Mine,1,2004-04-01T00:00:00.0000000,-0.017193990224213182
Mine,2,2004-04-01T00:00:00.0000000,-0.03126604067620437
Mine,3,2004-04-01T00:00:00.0000000,-0.013596651475720397
Mine,1,2004-05-01T00:00:00.0000000,0.011263312787672805
Mine,2,2004-05-01T00:00:00.0000000,0.01158798581215645
