Rank,Rank,Movie_name,IMDb_id,Release_Year,IMDB_Rating,Reviewer_count,Movie_Length,Genre,Director,Starring,Budget,Cum_Worldwide_Gross,Country,Language
1,1,Os Condenados de Shawshank,0111161,1994,9.3,2297698,142,['Drama'],Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",25000000,28815291,['USA'],['English']
2,2,O Padrinho,0068646,1972,9.2,1585756,175,"['Crime', 'Drama']",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan']",6000000,246120986,['USA'],"['English', 'Italian', 'Latin']"
3,3,O Padrinho: Parte II,0071562,1974,9.0,1107919,202,"['Crime', 'Drama']",Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall']",13000000,48035783,['USA'],"['English', 'Italian', 'Spanish', 'Latin', 'Sicilian']"
4,4,O Cavaleiro das Trevas,0468569,2008,9.0,2261899,152,"['Action', 'Crime', 'Drama']",Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",185000000,1005456758,"['USA', 'UK']","['English', 'Mandarin']"
5,5,Doze Homens em Fúria,0050083,1957,8.9,675116,96,"['Crime', 'Drama']",Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']",350000,576,['USA'],['English']
6,6,A Lista de Schindler,0108052,1993,8.9,1192482,195,"['Biography', 'Drama', 'History']",Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']",22000000,322287794,['USA'],"['English', 'Hebrew', 'German', 'Polish', 'Latin']"
7,7,O Senhor dos Anéis - O Regresso do Rei,0167260,2003,8.9,1615255,201,"['Action', 'Adventure', 'Drama']",Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']",94000000,1142270989,"['New Zealand', 'USA']","['English', 'Quenya', 'Old English', 'Sindarin']"
8,8,Pulp Fiction,0110912,1994,8.9,1794009,154,"['Crime', 'Drama']",Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']",8000000,214194847,['USA'],"['English', 'Spanish', 'French']"
9,9,"O Bom, o Mau e o Vilão",0060196,1966,8.8,677502,161,['Western'],Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']",1200000,25252481,"['Italy', 'Spain', 'West Germany']",['Italian']
10,10,O Senhor dos Anéis - A Irmandade do Anel,0120737,2001,8.8,1631011,178,"['Action', 'Adventure', 'Drama']",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom']",93000000,888304207,"['New Zealand', 'USA']","['English', 'Sindarin']"
11,11,Clube de Combate,0137523,1999,8.8,1821339,139,['Drama'],David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf']",63000000,101209593,"['USA', 'Germany']",['English']
12,12,Forrest Gump,0109830,1994,8.8,1770468,142,"['Drama', 'Romance']",Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']",55000000,678226805,['USA'],['English']
13,13,A Origem,1375666,2010,8.8,2023908,148,"['Action', 'Adventure', 'Sci-Fi']",Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page']",160000000,836836967,"['USA', 'UK']","['English', 'Japanese', 'French']"
14,14,O Senhor dos Anéis - As Duas Torres,0167261,2002,8.7,1459946,179,"['Action', 'Adventure', 'Drama']",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",94000000,943396133,"['New Zealand', 'USA']","['English', 'Sindarin', 'Old English']"
15,15,Star Wars: Episódio V - O Império Contra-Ataca,0080684,1980,8.7,1139907,124,"['Action', 'Adventure', 'Fantasy']",Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",18000000,550992836,['USA'],['English']
16,16,Matrix,0133093,1999,8.7,1644864,136,"['Action', 'Sci-Fi']",Lana Wachowski(as The Wachowski Brothers),"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']",63000000,465716699,['USA'],['English']
17,17,Tudo Bons Rapazes,0099685,1990,8.7,1000263,146,"['Biography', 'Crime', 'Drama']",Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci']",25000000,46884665,['USA'],"['English', 'Italian']"
18,18,Voando Sobre Um Ninho de Cucos,0073486,1975,8.7,902038,133,['Drama'],Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman']",3000000,108997629,['USA'],['English']
19,19,Os Sete Samurais,0047478,1954,8.6,310592,207,"['Action', 'Adventure', 'Drama']",Akira Kurosawa,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima']",125000000,322773,['Japan'],['Japanese']
20,20,Seven - 7 Pecados Mortais,0114369,1995,8.6,1415166,127,"['Crime', 'Drama', 'Mystery']",David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey']",33000000,327333559,['USA'],['English']
21,21,A Vida É Bela,0118799,1997,8.6,611095,116,"['Comedy', 'Drama', 'Romance']",Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']",20000000,230098753,['Italy'],"['Italian', 'German', 'English']"
22,22,Cidade de Deus,0317248,2002,8.6,689987,130,"['Crime', 'Drama']",Fernando Meirelles,"['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele']",3300000,30680793,"['Brazil', 'France', 'Germany']",['Portuguese']
23,23,O Silêncio dos Inocentes,0102926,1991,8.6,1245762,118,"['Crime', 'Drama', 'Thriller']",Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney']",19000000,272753884,['USA'],"['English', 'Latin']"
24,24,Do Céu Caiu Uma Estrela,0038650,1946,8.6,391063,130,"['Drama', 'Family', 'Fantasy']",Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore']",3180000,6130720,['USA'],"['English', 'French']"
25,25,Star Wars: Episódio IV - Uma Nova Esperança,0076759,1977,8.6,1211661,121,"['Action', 'Adventure', 'Fantasy']",George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",11000000,775749212,['USA'],['English']
26,26,O Resgate do Soldado Ryan,0120815,1998,8.6,1213501,169,"['Drama', 'War']",Steven Spielberg,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore']",70000000,482349603,['USA'],"['English', 'French', 'German', 'Czech']"
27,27,A Viagem de Chihiro,0245429,2001,8.6,634260,125,"['Animation', 'Adventure', 'Family']",Hayao Miyazaki,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino']",19000000,355467076,['Japan'],['Japanese']
28,28,À Espera de Um Milagre,0120689,1999,8.6,1123144,189,"['Crime', 'Drama', 'Fantasy']",Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']",60000000,286801374,['USA'],"['English', 'French']"
29,29,Parasitas,6751668,2019,8.6,495820,132,"['Comedy', 'Drama', 'Thriller']",Bong Joon Ho,"['Kang-ho Song', 'Sun-kyun Lee', 'Yeo-jeong Jo']",11400000,257644295,['South Korea'],"['Korean', 'English']"
30,30,Interstellar,0816692,2014,8.6,1469723,169,"['Adventure', 'Drama', 'Sci-Fi']",Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']",165000000,696264079,"['USA', 'UK', 'Canada']",['English']
31,31,"Léon, o Profissional",0110413,1994,8.5,1016003,110,"['Action', 'Crime', 'Drama']",Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman']",115000000,19552639,"['France', 'USA']","['English', 'Italian', 'French']"
