Time;Value;;;;;
1955-01;5,345512;;;;;
1955-02;5,345512;;;;;
1955-03;5,345512;;;;;
1955-04;5,400059;;;;;
1955-05;5,400059;;;;;
1955-06;5,400059;;;;;
1955-07;5,400059;;;;;
1955-08;5,454605;;;;;
1955-09;5,454605;;;;;
1955-10;5,509151;;;;;
1955-11;5,509151;;;;;
1955-12;5,509151;;;;;
1956-01;5,672789;;;;;
1956-02;5,836427;;;;;
1956-03;5,890973;;;;;
1956-04;5,890973;;;;;
1956-05;6,000065;;;;;
1956-06;6,000065;;;;;
1956-07;6,054611;;;;;
1956-08;6,109157;;;;;
1956-09;6,163703;;;;;
1956-10;6,163703;;;;;
1956-11;6,436433;;;;;
1956-12;6,436433;;;;;
1957-01;6,545526;;;;;
1957-02;6,545526;;;;;
1957-03;6,545526;;;;;
1957-04;6,600071;;;;;
1957-05;6,654618;;;;;
1957-06;6,654618;;;;;
1957-07;6,76371;;;;;
1957-08;6,818256;;;;;
1957-09;6,872802;;;;;
1957-10;6,927348;;;;;
1957-11;6,927348;;;;;
1957-12;6,981894;;;;;
1958-01;7,03644;;;;;
1958-02;7,03644;;;;;
1958-03;7,03644;;;;;
1958-04;7,105424;;;;;
1958-05;7,174409;;;;;
1958-06;7,174409;;;;;
1958-07;7,105424;;;;;
1958-08;7,174409;;;;;
1958-09;7,174409;;;;;
1958-10;7,174409;;;;;
1958-11;7,174409;;;;;
1958-12;7,174409;;;;;
1959-01;7,174409;;;;;
1959-02;7,174409;;;;;
1959-03;7,174409;;;;;
1959-04;7,174409;;;;;
1959-05;7,174409;;;;;
1959-06;7,174409;;;;;
1959-07;7,174409;;;;;
1959-08;7,174409;;;;;
1959-09;7,243394;;;;;
1959-10;7,381363;;;;;
1959-11;7,381363;;;;;
1959-12;7,381363;;;;;
1960-01;7,381363;;;;;
1960-02;7,381363;;;;;
1960-03;7,450348;;;;;
1960-04;7,450348;;;;;
1960-05;7,450348;;;;;
1960-06;7,450348;;;;;
1960-07;7,519333;;;;;
1960-08;7,519333;;;;;
1960-09;7,519333;;;;;
1960-10;7,519333;;;;;
1960-11;7,519333;;;;;
1960-12;7,588317;;;;;
1961-01;7,588317;;;;;
1961-02;7,588317;;;;;
1961-03;7,588317;;;;;
1961-04;7,588317;;;;;
1961-05;7,588317;;;;;
1961-06;7,588317;;;;;
1961-07;7,588317;;;;;
1961-08;7,588317;;;;;
1961-09;7,588317;;;;;
1961-10;7,657302;;;;;
1961-11;7,657302;;;;;
1961-12;7,657302;;;;;
1962-01;7,726287;;;;;
1962-02;7,726287;;;;;
1962-03;7,795272;;;;;
1962-04;7,864256;;;;;
1962-05;7,864256;;;;;
1962-06;7,933241;;;;;
1962-07;8,002226;;;;;
1962-08;8,002226;;;;;
1962-09;8,002226;;;;;
1962-10;8,071211;;;;;
1962-11;8,140195;;;;;
1962-12;8,140195;;;;;
1963-01;8,140195;;;;;
1963-02;8,140195;;;;;
1963-03;8,20918;;;;;
1963-04;8,278165;;;;;
1963-05;8,278165;;;;;
1963-06;8,278165;;;;;
1963-07;8,278165;;;;;
1963-08;8,347149;;;;;
1963-09;8,416134;;;;;
1963-10;8,554104;;;;;
1963-11;8,554104;;;;;
1963-12;8,554104;;;;;
1964-01;8,899027;;;;;
1964-02;8,968012;;;;;
1964-03;9,036996;;;;;
1964-04;9,105981;;;;;
1964-05;9,174966;;;;;
1964-06;9,243951;;;;;
1964-07;9,243951;;;;;
1964-08;9,243951;;;;;
1964-09;9,312935;;;;;
1964-10;9,312935;;;;;
1964-11;9,38192;;;;;
1964-12;9,38192;;;;;
1965-01;9,450905;;;;;
1965-02;9,450905;;;;;
1965-03;9,519889;;;;;
1965-04;9,588874;;;;;
1965-05;9,588874;;;;;
1965-06;9,657859;;;;;
1965-07;9,726844;;;;;
1965-08;9,726844;;;;;
1965-09;9,657859;;;;;
1965-10;9,795828;;;;;
1965-11;9,795828;;;;;
1965-12;9,795828;;;;;
1966-01;9,795828;;;;;
1966-02;9,795828;;;;;
1966-03;9,864813;;;;;
1966-04;9,933798;;;;;
1966-05;10,00278;;;;;
1966-06;10,00278;;;;;
1966-07;10,00278;;;;;
1966-08;10,07177;;;;;
1966-09;10,14075;;;;;
1966-10;10,14075;;;;;
1966-11;10,20974;;;;;
1966-12;10,27872;;;;;
1967-01;10,34771;;;;;
1967-02;10,34771;;;;;
1967-03;10,34771;;;;;
1967-04;10,34771;;;;;
1967-05;10,45329;;;;;
1967-06;10,45329;;;;;
1967-07;10,45329;;;;;
1967-08;10,55888;;;;;
1967-09;10,66447;;;;;
1967-10;10,66447;;;;;
1967-11;10,98124;;;;;
1967-12;11,08683;;;;;
1968-01;11,22409;;;;;
1968-02;11,27689;;;;;
1968-03;11,43527;;;;;
1968-04;11,48806;;;;;
1968-05;11,49862;;;;;
1968-06;11,57254;;;;;
1968-07;11,60421;;;;;
1968-08;11,61477;;;;;
1968-09;11,62533;;;;;
1968-10;11,67813;;;;;
1968-11;11,66757;;;;;
1968-12;11,66757;;;;;
1969-01;11,7098;;;;;
1969-02;11,7098;;;;;
1969-03;11,65701;;;;;
1969-04;11,75204;;;;;
1969-05;11,7626;;;;;
1969-06;11,78371;;;;;
1969-07;11,80483;;;;;
1969-08;11,81539;;;;;
1969-09;11,82595;;;;;
1969-10;11,84707;;;;;
1969-11;11,86819;;;;;
1969-12;11,86819;;;;;
1970-01;11,96321;;;;;
1970-02;11,99489;;;;;
1970-03;12,02657;;;;;
1970-04;12,05824;;;;;
1970-05;12,05824;;;;;
1970-06;12,10048;;;;;
1970-07;12,1216;;;;;
1970-08;12,15327;;;;;
1970-09;12,16383;;;;;
1970-10;12,18495;;;;;
1970-11;12,21663;;;;;
1970-12;12,23775;;;;;
1971-01;12,38557;;;;;
1971-02;12,4806;;;;;
1971-03;12,54395;;;;;
1971-04;12,62842;;;;;
1971-05;12,67066;;;;;
1971-06;12,91351;;;;;
1971-07;12,97687;;;;;
1971-08;13,09302;;;;;
1971-09;13,1986;;;;;
1971-10;13,21972;;;;;
1971-11;13,27252;;;;;
1971-12;13,30419;;;;;
1972-01;13,17749;;;;;
1972-02;13,28753;;;;;
1972-03;13,37006;;;;;
1972-04;13,59014;;;;;
1972-05;13,68643;;;;;
1972-06;13,74145;;;;;
1972-07;13,86525;;;;;
1972-08;13,90651;;;;;
1972-09;13,98904;;;;;
1972-10;14,04406;;;;;
1972-11;14,15411;;;;;
1972-12;14,18162;;;;;
1973-01;14,31917;;;;;
1973-02;14,41545;;;;;
1973-03;14,49799;;;;;
1973-04;14,6768;;;;;
1973-05;14,89689;;;;;
1973-06;15,04819;;;;;
1973-07;15,43334;;;;;
1973-08;15,65342;;;;;
1973-09;15,77722;;;;;
1973-10;15,87351;;;;;
1973-11;15,96979;;;;;
1973-12;16,17612;;;;;
1974-01;16,29992;;;;;
1974-02;16,7676;;;;;
1974-03;16,9189;;;;;
1974-04;17,34531;;;;;
1974-05;17,52413;;;;;
1974-06;17,57915;;;;;
1974-07;17,93679;;;;;
1974-08;18,19814;;;;;
1974-09;18,58328;;;;;
1974-10;18,74834;;;;;
1974-11;18,87214;;;;;
1974-12;18,91341;;;;;
1975-01;19,43611;;;;;
1975-02;19,72496;;;;;
1975-03;20,05509;;;;;
1975-04;20,4815;;;;;
1975-05;20,68783;;;;;
1975-06;20,75661;;;;;
1975-07;21,08673;;;;;
1975-08;21,34808;;;;;
1975-09;21,65069;;;;;
1975-10;21,98082;;;;;
1975-11;22,2009;;;;;
1975-12;22,33845;;;;;
1976-01;22,79238;;;;;
1976-02;23,08123;;;;;
1976-03;23,32883;;;;;
1976-04;23,49389;;;;;
1976-05;23,56267;;;;;
1976-06;23,61769;;;;;
1976-07;24,07161;;;;;
1976-08;24,38798;;;;;
1976-09;24,58055;;;;;
1976-10;24,8419;;;;;
1976-11;25,00696;;;;;
1976-12;25,08949;;;;;
1977-01;25,44713;;;;;
1977-02;25,68846;;;;;
1977-03;26,03705;;;;;
