"sex"	"age"	"birthplace"	"shoesize"	"service"	"smoking"	"avgrade"	"bafög"	"soccer"	"applynumb"	"acceptnumb"	"car"	"sleep"	"religion"	"job"	"unieval"	"cityeval"	"rent"	"abroadbefore"	"master"	"exchange"	"faith"	"brothsis"	"friend"	"animal"	"howareyou"	"work"	"tv"	"party"	"parentseducat"	"parentsstudy"	"parentsphd"	"languages"	"travel"	"height"	"weight"	"cooking"	"profession"	"meat"	"alternative"	"eggs"	"studyfine"	"newspaper"	"information"	"soccommit"	"econconcept"
"1"	0	21	3	42	0	0	1.7	1	2	3	3	0	7	5	0	2	3	285	1	1	2	-2	2	0	1	0	2	0	5	3	1	0	4	3	175	75	3	0	1	3	4	1	2	1	1	1
"2"	0	19	1	42	0	0	1.9	0	0	2	2	0	8	5	0	1	1	0	0	0	-1	2	3	0	1	2	5	2	4	2	0	0	2	0	182	63	2	0	1	5	2	0	8	2	0	1
"3"	0	21	4	45	2	0	1.8	0	6	4	4	0	7	1	0	2	3	245	1	2	1	1	1	0	1	1	2	0	6	3	1	1	3	2	187	77	4	0	1	3	0	-1	1	4	1	1
"4"	0	20	1	46	0	0	1.5	0	6	7	7	1	8	2	0	2	3	275	0	2	2	-1	1	0	1	1	8	4	1	3	1	0	3	3	197	82	4	0	1	3	3	2	3	1	0	1
"5"	0	19	6	45	0	0	1.2	0	0	3	3	0	7.5	2	0	3	4	225	0	2	2	-1	1	0	0	0	5	2	2	3	1	0	2	0	182	60	3	0	1	4	0	0	9	4	1	1
"6"	0	19	3	46	0	0	1.7	0	1	3	3	1	8	5	0	3	4	310	1	2	1	0	0	0	1	1	5	20	3	3	1	1	3	1	182	85	5	0	1	3	0	1	3	4	1	1
"7"	0	22	1	43	0	0	1.8	0	1	8	7	0	7.5	1	1	1	2	360	0	2	1	2	1	1	1	2	8	4	3	3	1	0	3	1	180	70	2	0	1	1	3	2	3	1	0	1
"8"	0	19	4	48	0	0	1.7	0	1	5	4	0	9	1	0	2	3	235	0	0	0	-1	1	0	0	1	5	1	3	2	0	0	1	1	200	84	3	0	1	3	1	1	3	4	0	0
"9"	1	19	3	39	0	0	1	0	2	1	1	0	7	5	2	1	2	210	0	2	1	0	2	1	0	1	12	3	1	3	1	1	2	4	168	55	3	0	1	3	3	1	3	1	0	0
"10"	0	19	5	43	0	0	1.1	0	3	3	3	0	6	5	0	2	3	280	0	2	0	-2	0	0	0	0	7	25	5	3	1	0	2	2	180	73	3	0	1	3	4	2	3	4	1	1
"11"	0	21	1	43	2	0	2.2	0	3	5	4	1	6.5	1	1	2	3	0	0	1	2	2	1	0	1	1	16	8	1	3	1	0	2	3	181	78	2	0	1	2	3	1	8	2	1	1
"12"	0	20	3	49	0	1	1	0	2	6	4	0	8	5	0	1	2	180	1	1	-1	2	1	0	0	0	10	3	5	3	1	0	2	6	189	79	2	0	1	4	1	0	3	4	0	-1
