sex	age	birthplace	shoesize	smoking	 avgrade	bafög	applynumb	acceptnumb	laptop	car	glasses	 sleep	religion	job	unieval	  cityeval	rent	abroadbefore	master	exchange	faith	brothsis	friend	animal	micromacro	work	tv	party	parentseducat	parentsstudy	parentsphd	hairdresser	travel	height	weight	cooking	 profession meat	statistics	macburger	studyfine	newspaper	information	soccommit	econconcept						
0,0	21,0	1,0	42,0	0,0	2,0	0,0	1,0	1,0	0,0	1,0	0,0	10,0	2,0	1,0	3,0	2,0	0,0	0,0	1,0	-2,0	2,0	0,0	1,0	NA	2,0	10,0	8,0	3,0	2,0	0,0	0,0	10,0	0,0	180,0	75,0	4,0	0,0	1,0	0,0	3,0	1,0	7,0	5,0	1,0	1,0						
0,0	20,0	1,0	46,0	0,0	1,0	0,0	4,0	4,0	1,0	0,0	0,0	7,0	1,0	2,0	2,0	2,0	290,0	1,0	2,0	2,0	-1,0	1,0	0,0	1,0	3,0	17,0	1,0	3,0	3,0	1,0	0,0	3,0	1,0	188,0	72,0	3,0	0,0	1,0	0,0	1,0	1,0	4,0	3,0	1,0	1,0						
0,0	20,0	1,0	44,0	0,0	2,3	0,0	10,0	6,0	1,0	0,0	0,0	8,0	5,0	2,0	3,0	2,0	230,0	0,0	1,0	0,0	0,0	1,0	0,0	1,0	2,0	16,0	0,0	NA	1,0	0,0	0,0	0,0	0,0	180,0	80,0	4,0	0,0	1,0	1,0	3,0	0,0	3,0	4,0	0,0	1,0						
0,0	21,0	3,0	46,0	0,0	1,7	0,0	3,0	3,0	1,0	0,0	0,0	8,5	2,0	1,0	2,0	3,0	280,0	0,0	1,0	1,0	2,0	1,0	0,0	0,0	3,0	10,0	2,0	2,0	3,0	1,0	0,0	5,0	0,0	186,0	100,0	5,0	0,0	1,0	0,0	4,0	0,0	8,0	4,0	0,0	1,0						
0,0	20,0	1,0	46,0	0,0	2,1	0,0	4,0	4,0	1,0	0,0	0,0	7,0	1,0	0,0	2,0	3,0	230,0	0,0	1,0	-1,0	2,0	2,0	1,0	0,0	2,0	12,0	2,0	2,0	3,0	1,0	0,0	0,0	1,0	175,0	70,0	3,0	0,0	1,0	0,0	2,0	-1,0	8,0	4,0	0,0	1,0						
1,0	20,0	2,0	38,0	0,0	2,4	0,0	5,0	4,0	1,0	0,0	1,0	8,5	1,0	0,0	2,0	5,0	200,0	0,0	2,0	2,0	1,0	1,0	0,0	1,0	2,0	13,0	2,0	3,0	3,0	1,0	0,0	6,0	1,0	163,0	50,0	2,0	0,0	1,0	0,0	4,0	1,0	2,0	5,0	1,0	1,0						
1,0	20,0	2,0	38,0	0,0	2,2	0,0	5,0	4,0	1,0	0,0	1,0	8,0	1,0	0,0	3,0	3,0	335,0	0,0	0,0	1,0	1,0	2,0	0,0	1,0	2,0	6,0	5,0	2,0	3,0	1,0	0,0	5,0	0,0	171,0	63,0	3,0	0,0	1,0	0,0	4,0	0,0	8,0	3,0	0,0	0,0						
1,0	19,0	3,0	40,0	0,0	1,4	0,0	3,0	3,0	1,0	0,0	0,0	7,5	2,0	0,0	2,0	3,0	250,0	0,0	0,0	2,0	-1,0	1,0	1,0	1,0	2,0	15,0	3,0	5,0	2,0	0,0	0,0	2,0	3,0	175,0	58,0	2,0	0,0	0,0	0,0	2,0	-1,0	2,0	3,0	0,0	1,0						
0,0	19,0	3,0	49,0	0,0	2,6	0,0	6,0	4,0	1,0	1,0	0,0	8,0	1,0	3,0	2,0	4,0	215,0	1,0	0,0	2,0	1,0	1,0	0,0	1,0	3,0	10,0	10,0	1,0	3,0	1,0	0,0	10,0	2,0	194,0	100,0	3,0	0,0	1,0	1,0	2,0	0,0	9,0	4,0	0,0	1,0						
0,0	23,0	4,0	44,0	0,0	2,2	0,0	12,0	9,0	1,0	0,0	0,0	7,0	1,0	5,0	3,0	2,0	220,0	1,0	2,0	0,0	-1,0	1,0	1,0	1,0	3,0	20,0	1,0	5,0	3,0	1,0	0,0	0,0	2,0	185,0	75,0	3,0	0,0	1,0	1,0	2,0	2,0	8,0	4,0	1,0	1,0						
