Timestamp;Google_Volume;Google_Price;GS_Volume;GS_Price;PuG_Volume;PuG_Price;NFLX_Volume;NFLX_Price;TSLA_Volume;TSLA_Price;;;;
29-06-2020 22:05;6400;1399;29100;194,27;82600;118,1;39600;449,24;57200;1011;;;;
29-06-2020 22:00;1809500;1398;1984200;193,59;5082900;117,66;1298200;447,42;4239100;1009,89;;;;
29-06-2020 21:55;669700;1393,23;424400;192,75;1296800;117,07;466700;445,97;3169900;1005,36;;;;
29-06-2020 21:50;282000;1390;285900;192,23;1033800;116,99;207600;444,5;570500;1003,9;;;;
29-06-2020 21:45;288900;1389,89;343900;192,44;867200;117,17;173300;444,72;572700;1002,72;;;;
29-06-2020 21:40;301300;1389,82;189400;192,63;1333300;117,19;205600;444,69;1401100;1003,83;;;;
29-06-2020 21:35;250200;1390,95;218400;192,57;908900;117,35;203700;445,01;7189200;1003,47;;;;
29-06-2020 21:30;958200;1389,5;168000;192,14;804400;117,36;182300;444,08;720300;996,97;;;;
29-06-2020 21:25;476700;1388,28;182900;192,05;710400;117,55;162100;443,21;362000;992,89;;;;
29-06-2020 21:20;425800;1386,85;166200;191,75;776800;117,49;167900;443,26;310500;991,93;;;;
29-06-2020 21:15;414900;1386,81;202800;191,44;954700;117,49;122000;443,29;350800;990,88;;;;
29-06-2020 21:10;244900;1386,84;143900;191,44;921900;117,38;153300;443,75;263000;990,17;;;;
29-06-2020 21:05;677700;1385,36;216400;191,5;1497400;117,32;262700;443,08;303400;987,5;;;;
29-06-2020 21:00;277500;1386,19;142700;192,05;755900;117,34;199100;443,68;320000;989,53;;;;
29-06-2020 20:55;282900;1387,08;187900;192,24;668700;117,25;139900;444,18;294700;990;;;;
29-06-2020 20:50;363300;1386,67;165700;192,26;661000;117,13;186500;444,66;282500;992,67;;;;
29-06-2020 20:45;155100;1390,08;89100;192,62;600500;117,18;112700;445,92;280000;993,07;;;;
29-06-2020 20:40;193200;1389,58;164400;192,46;535100;117,09;145100;446,21;245600;992,65;;;;
29-06-2020 20:35;211300;1389,52;159500;192,96;442200;117,07;124900;446,04;227300;991,35;;;;
